Name,Article 1,Created time,Likes,Number,Post,Substack,Tags
The Strategic Guide to Growing LTV,https://blog.jetmetrics.io/p/the-strategic-guide-to-growing-ltv?r=4qhbbx,"July 31, 2025 1:59 PM",328,1,https://www.linkedin.com/posts/nekrasovdy_everyone-wants-to-grow-ltv-almost-no-one-activity-7335974574708146179-IjiR?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,"Guide, LTV"
The Strategic Guide to Growing CR,,"July 31, 2025 1:59 PM",304,2,https://www.linkedin.com/posts/nekrasovdy_cr-dropped-any-ideas-why-if-this-makes-activity-7347693801198477313-WDdA?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"CR, Guide"
The Strategic Guide to Growing AOV,,"July 31, 2025 1:59 PM",307,3,https://www.linkedin.com/posts/nekrasovdy_aov-isnt-just-a-price-metric-its-a-monetization-activity-7343327390984560641-OQfR?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"AOV, Guide"
Formula for an Ideal E-commerce Business,https://blog.jetmetrics.io/p/5-parts-of-e-commerce-growth?r=4qhbbx,"July 31, 2025 1:59 PM",85,4,https://www.linkedin.com/posts/nekrasovdy_ecommerce-activity-7316174533026054144-eRO5?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"Base, Process"
The Benchmark Trap,,"July 31, 2025 1:59 PM",48,5,https://www.linkedin.com/posts/nekrasovdy_benchmarks-feel-safe-thats-why-theyre-activity-7320798096253186048-Kl36?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Guide
The E-commerce Growth Roadmap,,"July 31, 2025 1:59 PM",123,6,https://www.linkedin.com/posts/nekrasovdy_growth-isnt-just-do-more-its-knowing-activity-7331611709473722368-C6n_?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"Growth, Levels"
What to focus on at different stages of e-commerce,https://blog.jetmetrics.io/p/what-to-measure-at-300-orders-vs?r=4qhbbx,"July 31, 2025 1:59 PM",56,7,https://www.linkedin.com/posts/nekrasovdy_metrics-activity-7290961416147116033-Vhd9?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Process
10 Stable Metrics That Can Be Misleading,,"July 31, 2025 1:59 PM",,8,,No,Misleading
10 warning signs e-store is dying,,"July 31, 2025 1:59 PM",18,9,https://www.linkedin.com/posts/nekrasovdy_your-dashboard-says-all-good-your-metrics-activity-7309906015351660544-u0Tj?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Tips
Conversion Rate is up,https://blog.jetmetrics.io/p/dont-trust-cr-alone-it-can-lie?r=4qhbbx,"July 31, 2025 1:59 PM",114,10,https://www.linkedin.com/posts/nekrasovdy_9-ways-cr-growth-can-lie-to-you-more-conversions-activity-7341761386424758274-NL4Y?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"CR, Metric combination, Misleading"
